C:

1    ---   97                     ||                     25   ---  121
2    ---   98                     ||                     26   ---  122
3    ---   99                     ||                     27   ---  123
4    ---  100                     ||                     28   ---  124
5    ---  101                     ||                     29   ---  125
6    ---  102                     ||                     30   ---  126
7    ---  103                     ||                     31   ---  127
8    ---  104                     ||                     32   ---  128
9    ---  105                     ||                     33   ---  129
10   ---  106                     ||                     34   ---  130
11   ---  107                     ||                     35   ---  131
12   ---  108                     ||                     36   ---  132
13   ---  109                     ||                     37   ---  133
14   ---  110                     ||                     38   ---  134
15   ---  111                     ||                     39   ---  135
16   ---  112                     ||                     40   ---  136
17   ---  113                     ||                     41   ---  137
18   ---  114                     ||                     42   ---  138
19   ---  115                     ||                     43   ---  139
20   ---  116                     ||                     44   ---  140
21   ---  117                     ||                     45   ---  141
22   ---  118                     ||                     46   ---  142
23   ---  119                     ||                     47   ---  143
24   ---  120                     ||                     48   ---  144
