D:

1    ---  145                     ||                     25   ---  169
2    ---  146                     ||                     26   ---  170
3    ---  147                     ||                     27   ---  171
4    ---  148                     ||                     28   ---  172
5    ---  149                     ||                     29   ---  173
6    ---  150                     ||                     30   ---  174
7    ---  151                     ||                     31   ---  175
8    ---  152                     ||                     32   ---  176
9    ---  153                     ||                     33   ---  177
10   ---  154                     ||                     34   ---  178
11   ---  155                     ||                     35   ---  179
12   ---  156                     ||                     36   ---  180
13   ---  157                     ||                     37   ---  181
14   ---  158                     ||                     38   ---  182
15   ---  159                     ||                     39   ---  183
16   ---  160                     ||                     40   ---  184
17   ---  161                     ||                     41   ---  185
18   ---  162                     ||                     42   ---  186
19   ---  163                     ||                     43   ---  187
20   ---  164                     ||                     44   ---  188
21   ---  165                     ||                     45   ---  189
22   ---  166                     ||                     46   ---  190
23   ---  167                     ||                     47   ---  191
24   ---  168                     ||                     48   ---  192
