E:

1    ---  193                     ||                     25   ---  217
2    ---  194                     ||                     26   ---  218
3    ---  195                     ||                     27   ---  219
4    ---  196                     ||                     28   ---  220
5    ---  197                     ||                     29   ---  221
6    ---  198                     ||                     30   ---  222
7    ---  199                     ||                     31   ---  223
8    ---  200                     ||                     32   ---  224
9    ---  201                     ||                     33   ---  225
10   ---  202                     ||                     34   ---  226
11   ---  203                     ||                     35   ---  227
12   ---  204                     ||                     36   ---  228
13   ---  205                     ||                     37   ---  229
14   ---  206                     ||                     38   ---  230
15   ---  207                     ||                     39   ---  231
16   ---  208                     ||                     40   ---  232
17   ---  209                     ||                     41   ---  233
18   ---  210                     ||                     42   ---  234
19   ---  211                     ||                     43   ---  235
20   ---  212                     ||                     44   ---  236
21   ---  213                     ||                     45   ---  237
22   ---  214                     ||                     46   ---  238
23   ---  215                     ||                     47   ---  239
24   ---  216                     ||                     48   ---  240
