F:

1    ---  241                     ||                     25   ---  265
2    ---  242                     ||                     26   ---  266
3    ---  243                     ||                     27   ---  267
4    ---  244                     ||                     28   ---  268
5    ---  245                     ||                     29   ---  269
6    ---  246                     ||                     30   ---  270
7    ---  247                     ||                     31   ---  271
8    ---  248                     ||                     32   ---  272
9    ---  249                     ||                     33   ---  273
10   ---  250                     ||                     34   ---  274
11   ---  251                     ||                     35   ---  275
12   ---  252                     ||                     36   ---  276
13   ---  253                     ||                     37   ---  277
14   ---  254                     ||                     38   ---  278
15   ---  255                     ||                     39   ---  279
16   ---  256                     ||                     40   ---  280
17   ---  257                     ||                     41   ---  281
18   ---  258                     ||                     42   ---  282
19   ---  259                     ||                     43   ---  283
20   ---  260                     ||                     44   ---  284
21   ---  261                     ||                     45   ---  285
22   ---  262                     ||                     46   ---  286
23   ---  263                     ||                     47   ---  287
24   ---  264                     ||                     48   ---  288
