G:

1    ---  289                     ||                     25   ---  313
2    ---  290                     ||                     26   ---  314
3    ---  291                     ||                     27   ---  315
4    ---  292                     ||                     28   ---  316
5    ---  293                     ||                     29   ---  317
6    ---  294                     ||                     30   ---  318
7    ---  295                     ||                     31   ---  319
8    ---  296                     ||                     32   ---  320
9    ---  297                     ||                     33   ---  321
10   ---  298                     ||                     34   ---  322
11   ---  299                     ||                     35   ---  323
12   ---  300                     ||                     36   ---  324
13   ---  301                     ||                     37   ---  325
14   ---  302                     ||                     38   ---  326
15   ---  303                     ||                     39   ---  327
16   ---  304                     ||                     40   ---  328
17   ---  305                     ||                     41   ---  329
18   ---  306                     ||                     42   ---  330
19   ---  307                     ||                     43   ---  331
20   ---  308                     ||                     44   ---  332
21   ---  309                     ||                     45   ---  333
22   ---  310                     ||                     46   ---  334
23   ---  311                     ||                     47   ---  335
24   ---  312                     ||                     48   ---  336
