K:

1    ---  481                     ||                     25   ---  505
2    ---  482                     ||                     26   ---  506
3    ---  483                     ||                     27   ---  507
4    ---  484                     ||                     28   ---  508
5    ---  485                     ||                     29   ---  509
6    ---  486                     ||                     30   ---  510
7    ---  487                     ||                     31   ---  511
8    ---  488                     ||                     32   ---  512
9    ---  489                     ||                     33   ---  513
10   ---  490                     ||                     34   ---  514
11   ---  491                     ||                     35   ---  515
12   ---  492                     ||                     36   ---  516
13   ---  493                     ||                     37   ---  517
14   ---  494                     ||                     38   ---  518
15   ---  495                     ||                     39   ---  519
16   ---  496                     ||                     40   ---  520
17   ---  497                     ||                     41   ---  521
18   ---  498                     ||                     42   ---  522
19   ---  499                     ||                     43   ---  523
20   ---  500                     ||                     44   ---  524
21   ---  501                     ||                     45   ---  525
22   ---  502                     ||                     46   ---  526
23   ---  503                     ||                     47   ---  527
24   ---  504                     ||                     48   ---  528
