L:

1    ---  529                     ||                     25   ---  553
2    ---  530                     ||                     26   ---  554
3    ---  531                     ||                     27   ---  555
4    ---  532                     ||                     28   ---  556
5    ---  533                     ||                     29   ---  557
6    ---  534                     ||                     30   ---  558
7    ---  535                     ||                     31   ---  559
8    ---  536                     ||                     32   ---  560
9    ---  537                     ||                     33   ---  561
10   ---  538                     ||                     34   ---  562
11   ---  539                     ||                     35   ---  563
12   ---  540                     ||                     36   ---  564
13   ---  541                     ||                     37   ---  565
14   ---  542                     ||                     38   ---  566
15   ---  543                     ||                     39   ---  567
16   ---  544                     ||                     40   ---  568
17   ---  545                     ||                     41   ---  569
18   ---  546                     ||                     42   ---  570
19   ---  547                     ||                     43   ---  571
20   ---  548                     ||                     44   ---  572
21   ---  549                     ||                     45   ---  573
22   ---  550                     ||                     46   ---  574
23   ---  551                     ||                     47   ---  575
24   ---  552                     ||                     48   ---  576
