R:

1    ---  817                     ||                     25   ---  841
2    ---  818                     ||                     26   ---  842
3    ---  819                     ||                     27   ---  843
4    ---  820                     ||                     28   ---  844
5    ---  821                     ||                     29   ---  845
6    ---  822                     ||                     30   ---  846
7    ---  823                     ||                     31   ---  847
8    ---  824                     ||                     32   ---  848
9    ---  825                     ||                     33   ---  849
10   ---  826                     ||                     34   ---  850
11   ---  827                     ||                     35   ---  851
12   ---  828                     ||                     36   ---  852
13   ---  829                     ||                     37   ---  853
14   ---  830                     ||                     38   ---  854
15   ---  831                     ||                     39   ---  855
16   ---  832                     ||                     40   ---  856
17   ---  833                     ||                     41   ---  857
18   ---  834                     ||                     42   ---  858
19   ---  835                     ||                     43   ---  859
20   ---  836                     ||                     44   ---  860
21   ---  837                     ||                     45   ---  861
22   ---  838                     ||                     46   ---  862
23   ---  839                     ||                     47   ---  863
24   ---  840                     ||                     48   ---  864
