S:

1    ---  865                     ||                     25   ---  889
2    ---  866                     ||                     26   ---  890
3    ---  867                     ||                     27   ---  891
4    ---  868                     ||                     28   ---  892
5    ---  869                     ||                     29   ---  893
6    ---  870                     ||                     30   ---  894
7    ---  871                     ||                     31   ---  895
8    ---  872                     ||                     32   ---  896
9    ---  873                     ||                     33   ---  897
10   ---  874                     ||                     34   ---  898
11   ---  875                     ||                     35   ---  899
12   ---  876                     ||                     36   ---  900
13   ---  877                     ||                     37   ---  901
14   ---  878                     ||                     38   ---  902
15   ---  879                     ||                     39   ---  903
16   ---  880                     ||                     40   ---  904
17   ---  881                     ||                     41   ---  905
18   ---  882                     ||                     42   ---  906
19   ---  883                     ||                     43   ---  907
20   ---  884                     ||                     44   ---  908
21   ---  885                     ||                     45   ---  909
22   ---  886                     ||                     46   ---  910
23   ---  887                     ||                     47   ---  911
24   ---  888                     ||                     48   ---  912
