T:

1    ---  913                     ||                     25   ---  937
2    ---  914                     ||                     26   ---  938
3    ---  915                     ||                     27   ---  939
4    ---  916                     ||                     28   ---  940
5    ---  917                     ||                     29   ---  941
6    ---  918                     ||                     30   ---  942
7    ---  919                     ||                     31   ---  943
8    ---  920                     ||                     32   ---  944
9    ---  921                     ||                     33   ---  945
10   ---  922                     ||                     34   ---  946
11   ---  923                     ||                     35   ---  947
12   ---  924                     ||                     36   ---  948
13   ---  925                     ||                     37   ---  949
14   ---  926                     ||                     38   ---  950
15   ---  927                     ||                     39   ---  951
16   ---  928                     ||                     40   ---  952
17   ---  929                     ||                     41   ---  953
18   ---  930                     ||                     42   ---  954
19   ---  931                     ||                     43   ---  955
20   ---  932                     ||                     44   ---  956
21   ---  933                     ||                     45   ---  957
22   ---  934                     ||                     46   ---  958
23   ---  935                     ||                     47   ---  959
24   ---  936                     ||                     48   ---  960
