U:

1    ---  961                     ||                     25   ---  985
2    ---  962                     ||                     26   ---  986
3    ---  963                     ||                     27   ---  987
4    ---  964                     ||                     28   ---  988
5    ---  965                     ||                     29   ---  989
6    ---  966                     ||                     30   ---  990
7    ---  967                     ||                     31   ---  991
8    ---  968                     ||                     32   ---  992
9    ---  969                     ||                     33   ---  993
10   ---  970                     ||                     34   ---  994
11   ---  971                     ||                     35   ---  995
12   ---  972                     ||                     36   ---  996
13   ---  973                     ||                     37   ---  997
14   ---  974                     ||                     38   ---  998
15   ---  975                     ||                     39   ---  999
16   ---  976                     ||                     40   --- 1000
17   ---  977                     ||                     41   --- 1001
18   ---  978                     ||                     42   --- 1002
19   ---  979                     ||                     43   --- 1003
20   ---  980                     ||                     44   --- 1004
21   ---  981                     ||                     45   --- 1005
22   ---  982                     ||                     46   --- 1006
23   ---  983                     ||                     47   --- 1007
24   ---  984                     ||                     48   --- 1008
